epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,84.1663,0.6784,0.59781,0.84968,0.97848,1,0.995,0.90391,0.46932,1.44241,0.80912,0.000320922,0.000320922,0.000320922
83,85.144,0.67615,0.58342,0.85813,0.97848,1,0.995,0.90391,0.46932,1.44241,0.80912,0.000308648,0.000308648,0.000308648
84,86.115,0.66672,0.61914,0.85185,0.97982,1,0.995,0.92796,0.45721,1.33735,0.80351,0.000295978,0.000295978,0.000295978
85,87.1766,0.62077,0.56877,0.83032,0.97982,1,0.995,0.92796,0.45721,1.33735,0.80351,0.000282912,0.000282912,0.000282912
86,88.2845,0.63526,0.57973,0.84345,0.97982,1,0.995,0.92796,0.45721,1.33735,0.80351,0.00026945,0.00026945,0.00026945
87,89.2606,0.66791,0.56594,0.83881,0.97982,1,0.995,0.92796,0.45721,1.33735,0.80351,0.000255592,0.000255592,0.000255592
88,90.3212,0.65431,0.59049,0.86071,0.98221,1,0.995,0.92918,0.44467,1.22438,0.80031,0.000241338,0.000241338,0.000241338
89,91.3179,0.64487,0.60107,0.86601,0.98221,1,0.995,0.92918,0.44467,1.22438,0.80031,0.000226688,0.000226688,0.000226688
90,92.2839,0.66415,0.63414,0.84672,0.98221,1,0.995,0.92918,0.44467,1.22438,0.80031,0.000211642,0.000211642,0.000211642
91,100.595,0.56099,0.59916,0.82763,0.98221,1,0.995,0.92918,0.44467,1.22438,0.80031,0.0001962,0.0001962,0.0001962
92,101.55,0.53838,0.58561,0.83624,0.98674,1,0.995,0.91542,0.43223,1.1392,0.7952,0.000180362,0.000180362,0.000180362
93,102.486,0.57397,0.59103,0.83139,0.98674,1,0.995,0.91542,0.43223,1.1392,0.7952,0.000164128,0.000164128,0.000164128
94,103.408,0.61626,0.61823,0.84302,0.98674,1,0.995,0.91542,0.43223,1.1392,0.7952,0.000147498,0.000147498,0.000147498
95,104.294,0.53739,0.57013,0.83147,0.98674,1,0.995,0.91542,0.43223,1.1392,0.7952,0.000130472,0.000130472,0.000130472
96,105.197,0.55952,0.59021,0.81743,0.98883,1,0.995,0.92918,0.42767,1.0602,0.79188,0.00011305,0.00011305,0.00011305
97,106.093,0.57541,0.57917,0.82486,0.98883,1,0.995,0.92918,0.42767,1.0602,0.79188,9.5232e-05,9.5232e-05,9.5232e-05
98,106.999,0.53907,0.57015,0.84612,0.98883,1,0.995,0.92918,0.42767,1.0602,0.79188,7.7018e-05,7.7018e-05,7.7018e-05
99,107.888,0.55279,0.56585,0.84304,0.98883,1,0.995,0.92918,0.42767,1.0602,0.79188,5.8408e-05,5.8408e-05,5.8408e-05
100,108.814,0.55048,0.57001,0.83259,0.9897,1,0.995,0.92918,0.42311,1.00527,0.79115,3.9402e-05,3.9402e-05,3.9402e-05
